model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,run_id
vits16_imagenet,finetune,linear,0.75,75,256,6149,0.69,0.934,0.69,0.934,923799c33b5d40a1bbdb73dbd9f329db
resnet50_imagenet,finetune,linear,0.75,75,256,6149,0.686,0.928,0.686,0.928,0fbbbfd34dc24acdac0a94b30b68ce90
vits16_gastronet,finetune,linear,0.75,75,256,6149,0.733,0.941,0.733,0.941,9ce2a01b29ab45be85e531e1c1dcf845
resnet50_200K,finetune,linear,0.75,75,256,6149,0.709,0.934,0.709,0.934,575897cb98464bddbb44993a007d1a41
resnet50_1M,finetune,linear,0.75,75,256,6149,0.708,0.937,0.708,0.937,27e0c87d7bb547efbaa29816bdd863e9
resnet50_5M,finetune,linear,0.75,75,256,6149,0.728,0.939,0.728,0.939,97aa1dd0b53d478fbb1bab877ea11399
efficientnetb0,finetune,linear,0.75,75,364,6149,0.679,0.924,0.679,0.924,f4265ab5f8324c9eb72aa5b378050a87
vits16_imagenet,finetune,linear,0.75,75,364,6149,0.713,0.935,0.713,0.935,bebd2337f9ed4aa4aef65aae8abe4576
resnet50_imagenet,finetune,linear,0.75,75,364,6149,0.705,0.927,0.705,0.927,0ee60e38925d4bceb6184c67a7f0d10d
vits16_gastronet,finetune,linear,0.75,75,364,6149,0.759,0.94,0.759,0.94,98c1b70144f844abbbfffbe6b82a6e9e
resnet50_200K,finetune,linear,0.75,75,364,6149,0.716,0.936,0.716,0.936,fe8ac487605f4ef5a426193164c3d64d
resnet50_1M,finetune,linear,0.75,75,364,6149,0.713,0.929,0.713,0.929,f974145cdba4429c8866b6325397e61a
resnet50_5M,finetune,linear,0.75,75,364,6149,0.716,0.939,0.716,0.939,ad78fdd1ba1046f2a10773e0b730259b
efficientnetb0,finetune,linear,0.75,75,420,6149,0.675,0.919,0.675,0.919,2f4e697516894f6f87b28822cfcf3d92
vits16_imagenet,finetune,linear,0.75,75,420,6149,0.682,0.931,0.682,0.931,4a9a9e2cd07d4c7e83304655a1dd2df5
resnet50_imagenet,finetune,linear,0.75,75,420,6149,0.7,0.927,0.7,0.927,ac2980722ad24c928db5c0200b12f7d1
vits16_gastronet,finetune,linear,0.75,75,420,6149,0.733,0.941,0.733,0.941,eabfaf75726044cc846a13db1e34af32
resnet50_200K,finetune,linear,0.75,75,420,6149,0.713,0.936,0.713,0.936,71587404cdac481695bf172a8547e573
resnet50_1M,finetune,linear,0.75,75,420,6149,0.715,0.933,0.715,0.933,cfb7cf77761a4da3b165aaa7a7dfc889
resnet50_5M,finetune,linear,0.75,75,420,6149,0.719,0.939,0.719,0.939,3b80c461c44041588c56621f5204f809
efficientnetb0,finetune,linear,1.0,100,42,8199,0.677,0.923,0.677,0.923,53332407fb14451d8ead5da053d91015
vits16_imagenet,finetune,linear,1.0,100,42,8199,0.698,0.935,0.698,0.935,4c853747403b41728f8ebb2d2fa6330d
resnet50_imagenet,finetune,linear,1.0,100,42,8199,0.688,0.925,0.688,0.925,573cf956b5ac4e30addf227cd5ac432a
