model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,micro_f1,macro_f1,clin_sensitivity,clin_specificity,clin_f1,checkpoint_dir,sens_mayo0,sens_mayo1,sens_mayo2,sens_mayo3,spec_mayo0,spec_mayo1,spec_mayo2,spec_mayo3
vits16_gastronet,finetune,linear,0.1,10,364,900,0.387,0.777,0.29,0.781,0.6361516034985423,0.3869794341781056,0.508411214953271,0.9279661016949152,0.6098654708520179,output/mes/models/vits16_gastronet/0/linear/20260606_053943,0.9683544303797469,0.1810344827586207,0.0,0.5481171548117155,0.4980443285528031,0.9912339851652057,1.0,0.8468834688346883
resnet50_200K,finetune,linear,0.1,10,364,900,0.41,0.767,0.492,0.818,0.5597667638483965,0.4100233286745214,0.8448598130841122,0.7754237288135594,0.7220447284345048,output/mes/models/resnet50_200K/0/linear/20260606_053957,0.6951476793248945,0.31896551724137934,0.030405405405405407,0.9121338912133892,0.8083441981747066,0.9204315576534052,0.959830866807611,0.7066395663956639
resnet50_5M,finetune,linear,0.1,10,364,900,0.377,0.716,0.339,0.842,0.5626822157434402,0.3779015021633334,0.8336448598130841,0.7313559322033898,0.687211093990755,output/mes/models/resnet50_5M/0/linear/20260606_054810,0.7373417721518988,0.16810344827586207,0.016891891891891893,0.9288702928870293,0.8018252933507171,0.9581928523263655,0.959830866807611,0.6754742547425474
resnet50_1M,finetune,linear,0.1,10,364,900,0.369,0.801,0.344,0.887,0.59533527696793,0.36924096556701924,0.7345794392523365,0.8194915254237288,0.6888694127957932,output/mes/models/resnet50_1M/0/linear/20260606_054500,0.8291139240506329,0.1206896551724138,0.0,0.8661087866108786,0.6714471968709257,0.9710047201618341,0.9873150105708245,0.741869918699187
vits16_imagenet,finetune,linear,0.1,10,420,1005,0.211,0.458,0.271,0.49,0.3510204081632653,0.21111869329130276,0.5439252336448598,0.514406779661017,0.41601143674052893,output/mes/models/vits16_imagenet/0/linear/20260606_055733,0.5284810126582279,0.01293103448275862,0.060810810810810814,0.33472803347280333,0.60625814863103,0.9696561024949427,0.9457364341085271,0.5331978319783198
resnet50_imagenet,finetune,linear,0.1,10,420,1005,0.227,0.523,0.115,0.515,0.29970845481049563,0.22812294883891282,0.5719626168224299,0.5923728813559322,0.4629349470499244,output/mes/models/resnet50_imagenet/0/linear/20260606_060148,0.3618143459915612,0.3103448275862069,0.016891891891891893,0.39330543933054396,0.7209908735332464,0.7983816587997303,0.9950669485553206,0.5386178861788617
vits16_gastronet,finetune,linear,0.1,10,420,1005,0.272,0.643,0.311,0.68,0.4932944606413994,0.27306232550561715,0.34953271028037386,0.7940677966101695,0.38756476683937824,output/mes/models/vits16_gastronet/0/linear/20260606_060542,0.790084388185654,0.03879310344827586,0.0033783783783783786,0.36401673640167365,0.5267275097783573,0.8894133513149022,0.9175475687103594,0.8475609756097561
efficientnetb0,finetune,linear,0.1,10,420,1005,0.207,0.503,0.129,0.534,0.41690962099125367,0.20729894230185436,0.23738317757009345,0.6754237288135593,0.2430622009569378,output/mes/models/efficientnetb0/0/linear/20260606_055648,0.7056962025316456,0.0,0.0472972972972973,0.13389121338912133,0.3428943937418514,0.978422117329737,0.7751937984496124,0.9017615176151762
resnet50_1M,finetune,linear,0.1,10,420,1005,0.255,0.48,0.281,0.593,0.3620991253644315,0.25559947124405025,0.6317757009345795,0.49491525423728816,0.46017699115044247,output/mes/models/resnet50_1M/0/linear/20260606_061050,0.4767932489451477,0.05603448275862069,0.033783783783783786,0.6108786610878661,0.8148631029986962,0.882670262980445,0.7829457364341085,0.6815718157181572
resnet50_200K,finetune,linear,0.1,10,420,1005,0.25,0.486,0.281,0.622,0.37201166180758016,0.24991436532962474,0.5644859813084112,0.5745762711864407,0.45108289768483945,output/mes/models/resnet50_200K/0/linear/20260606_061047,0.5295358649789029,0.02586206896551724,0.0033783783783783786,0.5397489539748954,0.7692307692307693,0.8476062036412677,0.7801268498942917,0.7547425474254743
resnet50_5M,finetune,linear,0.1,10,420,1005,0.266,0.523,0.318,0.632,0.45714285714285713,0.2661502254906255,0.45607476635514016,0.688135593220339,0.42545771578029645,output/mes/models/resnet50_5M/0/linear/20260606_061909,0.70042194092827,0.017241379310344827,0.006756756756756757,0.4769874476987448,0.5058670143415906,0.9622387053270398,0.8449612403100775,0.8130081300813008
vits16_imagenet,finetune,linear,0.25,25,42,2027,0.234,0.513,0.189,0.482,0.2717201166180758,0.2341538783358397,0.5607476635514018,0.4110169491525424,0.39215686274509803,output/mes/models/vits16_imagenet/0/linear/20260606_063041,0.26582278481012656,0.22844827586206898,0.46283783783783783,0.100418410041841,0.7561929595827901,0.8462575859743763,0.6131078224101479,0.806910569105691
efficientnetb0,finetune,linear,0.25,25,42,2027,0.318,0.606,0.213,0.759,0.5498542274052478,0.3185292150894669,0.4411214953271028,0.8347457627118644,0.4886128364389234,output/mes/models/efficientnetb0/0/linear/20260606_061930,0.8512658227848101,0.0,0.30405405405405406,0.19246861924686193,0.38852672750977835,0.9946055293324343,0.8661028893587033,0.9288617886178862
resnet50_imagenet,finetune,linear,0.25,25,42,2027,0.127,0.526,0.136,0.466,0.19183673469387755,0.1268594383491065,0.9214953271028037,0.048305084745762714,0.4583914458391446,output/mes/models/resnet50_imagenet/0/linear/20260606_063530,0.04219409282700422,0.01293103448275862,0.902027027027027,0.0794979079497908,0.9452411994784876,0.9905596763317599,0.12473572938689217,0.940379403794038
vits16_gastronet,finetune,linear,0.25,25,42,2027,0.329,0.642,0.388,0.679,0.5376093294460641,0.328657726225836,0.5196261682242991,0.8398305084745763,0.5548902195608783,output/mes/models/vits16_gastronet/0/linear/20260606_063807,0.8122362869198312,0.004310344827586207,0.16554054054054054,0.42677824267782427,0.4680573663624511,0.9534726904922455,0.95630725863284,0.8279132791327913
resnet50_1M,finetune,linear,0.25,25,42,2027,0.327,0.609,0.311,0.755,0.5889212827988338,0.32735795651500466,0.4093457943925234,0.9355932203389831,0.5277108433734939,output/mes/models/resnet50_1M/0/linear/20260606_064406,0.9440928270042194,0.0,0.15202702702702703,0.2928870292887029,0.3350717079530639,0.9898853674983142,0.966878083157153,0.9098915989159891
resnet50_200K,finetune,linear,0.25,25,42,2027,0.288,0.508,0.141,0.617,0.5253644314868805,0.2883353346261157,0.3364485981308411,0.8771186440677966,0.4186046511627907,output/mes/models/resnet50_200K/0/linear/20260606_064044,0.8449367088607594,0.0,0.10810810810810811,0.28451882845188287,0.2685788787483703,0.9811193526635199,0.9386892177589852,0.9065040650406504
efficientnetb0,finetune,linear,0.25,25,84,1809,0.368,0.672,0.469,0.738,0.3685131195335277,0.3683541620748913,0.7065420560747664,0.5830508474576271,0.5380782918149466,output/mes/models/efficientnetb0/0/linear/20260606_065746,0.2626582278481013,0.5,0.46283783783783783,0.5439330543933054,0.8109517601043025,0.7741065407956844,0.7744890768146582,0.8082655826558266
vits16_imagenet,finetune,linear,0.25,25,84,1809,0.35,0.739,0.311,0.769,0.5690962099125364,0.3497859282778713,0.39065420560747666,0.888135593220339,0.4771689497716895,output/mes/models/vits16_imagenet/0/linear/20260606_070307,0.8881856540084389,0.125,0.0472972972972973,0.3807531380753138,0.4015645371577575,0.9703304113283884,0.9281183932346723,0.9092140921409214
resnet50_5M,finetune,linear,0.25,25,42,2027,0.295,0.55,0.237,0.69,0.5568513119533528,0.29563617962375927,0.3177570093457944,0.9186440677966101,0.42446941323345816,output/mes/models/resnet50_5M/0/linear/20260606_065722,0.9113924050632911,0.0,0.11824324324324324,0.23430962343096234,0.26988265971316816,0.983142279163857,0.9520789288231148,0.9275067750677507
resnet50_imagenet,finetune,linear,0.25,25,84,1809,0.357,0.672,0.12,0.73,0.5142857142857142,0.35634410502815594,0.27476635514018694,0.8771186440677966,0.3555018137847642,output/mes/models/resnet50_imagenet/0/linear/20260606_071031,0.75,0.4353448275862069,0.0472972972972973,0.23430962343096234,0.39895697522816165,0.8988536749831423,0.9302325581395349,0.9166666666666666
vits16_gastronet,finetune,linear,0.25,25,84,1809,0.399,0.789,0.355,0.739,0.6215743440233236,0.3991011490294878,0.6149532710280374,0.8661016949152542,0.6438356164383562,output/mes/models/vits16_gastronet/0/linear/20260606_071204,0.9124472573839663,0.15517241379310345,0.016891891891891893,0.6694560669456067,0.6401564537157758,0.9656102494942683,0.9274136715997181,0.8516260162601627
resnet50_1M,finetune,linear,0.25,25,84,1809,0.353,0.728,0.339,0.767,0.5352769679300291,0.35324782503036867,0.7588785046728972,0.7330508474576272,0.6464968152866242,output/mes/models/resnet50_1M/0/linear/20260606_071832,0.7246835443037974,0.15086206896551724,0.010135135135135136,0.8075313807531381,0.7340286831812256,0.9541469993256911,0.9422128259337562,0.6998644986449865
